date,X,Y,Z,DB,a,pos
2016-07-30 14:40:09:855,8.724472,0.23942,-5.679046,45.69689,0.602746855912,-0.261677013086
2016-07-30 14:40:10:355,8.015787,0.632069,-5.688623,44.77162,0.0395067940613,-0.267038773845
2016-07-30 14:40:10:856,8.408438,0.153229,-5.439626,51.45337,0.205729616267,-0.272063410392
2016-07-30 14:40:11:355,8.312668,0.517148,-5.975927,49.82457,0.440833860787,-0.276335377563
2016-07-30 14:40:11:856,8.2169,0.497994,-6.282385,50.00644,0.545375653363,-0.279296189474
2016-07-30 14:40:12:356,8.37013,0.229843,-5.66947,50.67308,0.302111258409,-0.280322129862
2016-07-30 14:40:12:855,8.101979,0.296881,-5.123591,47.80362,-0.219307283627,-0.278831590206
2016-07-30 14:40:13:355,8.485052,0.373495,-5.96635,46.73882,0.569447879354,-0.274404570916
2016-07-30 14:40:13:855,8.58082,0.143652,-6.023811,46.92253,0.675104040172,-0.266892411052
2016-07-30 14:40:14:355,7.920019,0.411803,-5.152322,46.19333,-0.352584673239,-0.256495413345
2016-07-30 14:40:14:855,8.743626,0.842759,-5.947197,46.4117,0.798034243759,-0.243790063351
2016-07-30 14:40:15:356,8.657434,0.555455,-6.224924,49.55908,0.867517151808,-0.229695487112
2016-07-30 14:40:15:855,7.852982,0.296881,-5.171476,45.41501,-0.402469578095,-0.215379324106
2016-07-30 14:40:16:357,8.810662,0.517148,-5.573701,45.65584,0.628455334462,-0.202114406661
2016-07-30 14:40:16:855,8.446744,0.737414,-5.889736,47.22159,0.513771295347,-0.191107404695
2016-07-30 14:40:17:356,8.140286,0.526724,-5.420472,45.12902,-0.0159604331636,-0.183326972429
2016-07-30 14:40:17:856,8.686164,0.708684,-4.903325,51.16063,0.18971370102,-0.179360549982
2016-07-30 14:40:18:355,8.58082,0.536301,-5.449203,53.96013,0.368993268993,-0.179325313184
2016-07-30 14:40:18:856,8.2169,0.699107,-6.272808,44.91692,0.551192808375,-0.182850300117
2016-07-30 14:40:19:355,8.101979,0.679953,-5.161899,47.21932,-0.179340568536,-0.189134868639
2016-07-30 14:40:19:855,8.485052,0.191536,-5.477933,51.99565,0.291511938046,-0.197075437939
2016-07-30 14:40:20:355,8.66701,0.076614,-5.746084,50.54053,0.589058292949,-0.205440331019
2016-07-30 14:40:20:855,7.824251,0.411803,-5.861006,54.35413,-0.0253243919971,-0.213063721412
2016-07-30 14:40:21:357,8.686164,0.354342,-5.736507,50.64241,0.605494028077,-0.219025890401
2016-07-30 14:40:21:855,8.42759,0.325611,-5.21936,48.13855,0.108266710521,-0.222789020316
2016-07-30 14:40:22:355,8.149863,0.708684,-5.688623,47.43622,0.154082073465,-0.224265323027
2016-07-30 14:40:22:856,8.753202,0.363919,-5.880159,46.53415,0.74117302278,-0.223806135649
2016-07-30 14:40:23:357,8.264784,0.497994,-5.056554,47.28665,-0.108278969914,-0.222114605125
2016-07-30 14:40:23:856,8.513782,0.287304,-5.477933,46.00057,0.317920689087,-0.220098198832
2016-07-30 14:40:24:355,8.418014,0.584185,-5.717354,46.60231,0.382760596607,-0.218688026702
2016-07-30 14:40:24:855,8.274361,0.632069,-5.468356,48.28261,0.12818285814,-0.218657850891
2016-07-30 14:40:25:356,8.887278,0.201113,-5.420472,48.16329,0.601804521352,-0.220475579952
2016-07-30 14:40:25:856,8.303091,0.105345,-4.874594,47.49846,-0.181184684078,-0.224213978566
2016-07-30 14:40:26:355,8.657434,0.708684,-5.382165,44.25865,0.408664128125,-0.229536361614
2016-07-30 14:40:26:855,8.37013,0.440533,-5.410896,52.33744,0.166519486464,-0.235759187025
2016-07-30 14:40:27:355,8.714894,0.469264,-5.468356,44.18373,0.489150619137,-0.241979267078
2016-07-30 14:40:27:856,8.37013,0.737414,-5.497087,45.27245,0.23095718096,-0.247241409535
2016-07-30 14:40:28:357,8.264784,0.373495,-5.286397,43.55632,0.00795020986,-0.250714891274
2016-07-30 14:40:28:855,8.801086,0.603339,-5.72693,43.19924,0.707645171483,-0.251845642032
2016-07-30 14:40:29:356,8.456322,1.11091,-5.343858,47.0438,0.254806064696,-0.250455666632
2016-07-30 14:40:29:855,8.628704,0.42138,-5.238513,51.45534,0.293173376479,-0.24677120161
2016-07-30 14:40:30:356,8.312668,0.086191,-5.190629,51.08849,-0.00946391352259,-0.241374531058
2016-07-30 14:40:30:856,8.753202,0.124498,-5.430049,50.38219,0.491430830094,-0.235088768399
2016-07-30 14:40:31:355,8.37013,0.402226,-5.372588,45.11351,0.144173184636,-0.228817550902
2016-07-30 14:40:31:856,8.734048,0.229843,-5.267244,48.16695,0.391974398443,-0.223370115195
2016-07-30 14:40:32:355,8.513782,0.373495,-5.353435,44.85199,0.253957907194,-0.219305012725
2016-07-30 14:40:32:855,8.628704,0.373495,-5.430049,45.50252,0.39193429586,-0.216822242354
2016-07-30 14:40:33:356,8.762778,0.42138,-5.315128,45.14725,0.447408300251,-0.215724458032
2016-07-30 14:40:33:856,7.900866,0.45011,-5.200206,44.92905,-0.340658681593,-0.215454850445
2016-07-30 14:40:34:356,9.069236,0.651223,-5.573701,46.22292,0.854955501868,-0.21520474914
2016-07-30 14:40:34:855,8.226477,0.038307,-5.382165,43.79961,0.0207726728372,-0.21407068513
2016-07-30 14:40:35:356,8.303091,0.191536,-5.161899,43.72896,-0.0312880459757,-0.21123111271
2016-07-30 14:40:35:856,9.165004,1.005565,-5.573701,45.1901,0.963792374398,-0.206109037432
2016-07-30 14:40:36:355,8.456322,0.411803,-5.449203,45.89983,0.258404879309,-0.198489218581
2016-07-30 14:40:36:855,8.111555,0.114922,-5.305551,46.45481,-0.116734141802,-0.188566997895
2016-07-30 14:40:37:355,8.8777,0.497994,-5.420472,45.83643,0.603600338827,-0.176918616624
2016-07-30 14:40:37:855,8.734048,0.545878,-5.679046,43.25547,0.622312338466,-0.164397741053
2016-07-30 14:40:38:356,7.862559,0.229843,-5.181052,48.38857,-0.391084900062,-0.151977040595
2016-07-30 14:40:38:855,8.963892,0.430956,-5.353435,52.25795,0.639705697331,-0.140564385278
2016-07-30 14:40:39:355,8.628704,0.296881,-5.449203,50.86013,0.399627044265,-0.130828499463
