date,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),SOUND LEVEL (dB)
2016-07-30 14:40:46:855,8.350976,0.105345,-4.683058,46.26338
2016-07-30 14:40:47:356,7.97748,0.603339,-5.24809,46.81217
2016-07-30 14:40:47:855,9.184158,0.114922,-5.72693,55.83048
2016-07-30 14:40:48:355,8.140286,0.306458,-4.223372,52.71471
2016-07-30 14:40:48:856,9.174582,-0.019154,-5.363012,52.30164
2016-07-30 14:40:49:355,8.868124,0.287304,-5.506664,54.62699
2016-07-30 14:40:49:856,8.39886,0.105345,-4.644751,45.90201
2016-07-30 14:40:50:355,8.925584,0.057461,-5.027823,46.1937
2016-07-30 14:40:50:855,8.686164,0.440533,-4.903325,46.04318
2016-07-30 14:40:51:355,8.341399,0.354342,-5.305551,45.52703
2016-07-30 14:40:51:855,8.992622,0.411803,-5.353435,44.03916
2016-07-30 14:40:52:355,8.983046,0.507571,-4.501099,44.79663
2016-07-30 14:40:52:856,8.341399,0.181959,-4.357447,49.19901
2016-07-30 14:40:53:355,9.184158,0.392649,-5.104438,51.50875
2016-07-30 14:40:53:855,8.992622,-0.009577,-5.267244,48.81047
2016-07-30 14:40:54:355,8.178593,0.45011,-4.61602,44.9825
2016-07-30 14:40:54:856,9.193734,0.23942,-4.548983,46.03267
2016-07-30 14:40:55:355,9.500194,0.086191,-4.999093,46.93515
2016-07-30 14:40:55:857,7.967903,0.114922,-4.903325,46.5279
2016-07-30 14:40:56:355,8.743626,0.162806,-4.845864,44.07942
2016-07-30 14:40:56:855,9.768344,0.565032,-4.817134,49.41149
2016-07-30 14:40:57:355,8.379707,0.153229,-4.922478,50.7002
2016-07-30 14:40:57:856,9.040506,0.268151,-4.3766,50.29352
2016-07-30 14:40:58:356,8.743626,0.229843,-5.056554,48.87007
2016-07-30 14:40:58:855,8.60955,0.067038,-5.228936,49.41405
2016-07-30 14:40:59:355,9.184158,0.325611,-4.979939,45.5679
2016-07-30 14:40:59:856,8.054095,0.105345,-4.194641,45.59453
2016-07-30 14:41:00:355,9.279926,-0.047884,-4.817134,48.26128
2016-07-30 14:41:00:855,8.839394,0.105345,-4.893748,47.69307
2016-07-30 14:41:01:356,8.619126,0.411803,-4.472368,47.68669
2016-07-30 14:41:01:856,9.500194,0.114922,-4.865018,50.8647
2016-07-30 14:41:02:355,8.389284,0.095768,-4.386177,46.26021
2016-07-30 14:41:02:855,9.11712,0.47884,-4.941632,45.88852
2016-07-30 14:41:03:356,9.251196,0.114922,-4.644751,46.58167
2016-07-30 14:41:03:855,8.39886,0.248997,-4.625597,45.42301
2016-07-30 14:41:04:356,8.79151,0.038307,-4.539406,46.1133
2016-07-30 14:41:04:856,9.461886,-0.229843,-4.481945,46.2852
2016-07-30 14:41:05:355,8.303091,0.497994,-4.625597,47.06829
2016-07-30 14:41:05:856,8.542512,0.172383,-4.654328,47.62224
2016-07-30 14:41:06:357,9.74919,0.392649,-4.443638,48.58948
2016-07-30 14:41:06:855,8.312668,-0.086191,-4.204218,52.07927
2016-07-30 14:41:07:355,9.500194,0.574608,-4.386177,52.58809
2016-07-30 14:41:07:856,9.002198,0.612916,-4.759673,52.25469
2016-07-30 14:41:08:355,8.63828,0.019154,-4.367024,52.34351
2016-07-30 14:41:08:855,9.308656,0.555455,-4.874594,50.60436
2016-07-30 14:41:09:356,8.82024,0.335188,-4.34787,48.47103
2016-07-30 14:41:09:855,9.040506,0.316035,-4.434061,47.45719
2016-07-30 14:41:10:355,9.011776,0.306458,-4.692635,44.55037
2016-07-30 14:41:10:856,8.446744,0.134075,-4.213795,45.52101
2016-07-30 14:41:11:355,9.595962,0.526724,-4.663905,48.69802
2016-07-30 14:41:11:856,9.11712,0.268151,-4.941632,44.33992
2016-07-30 14:41:12:355,8.274361,0.047884,-4.453215,47.45619
2016-07-30 14:41:12:855,9.48104,0.277727,-4.76925,46.48191
2016-07-30 14:41:13:355,8.58082,0.325611,-4.175488,48.3161
2016-07-30 14:41:13:855,9.05966,0.296881,-4.932055,47.20844
2016-07-30 14:41:14:355,8.79151,0.699107,-4.443638,42.94745
2016-07-30 14:41:14:856,9.050082,0.306458,-4.76925,47.26532
2016-07-30 14:41:15:356,9.222466,-0.019154,-4.510676,50.34862
2016-07-30 14:41:15:856,8.504206,0.086191,-4.309563,45.54579
2016-07-30 14:41:16:355,8.887278,0.095768,-4.82671,45.88095
2016-07-30 14:41:16:855,9.385272,0.009577,-4.338293,43.27042
2016-07-30 14:41:17:355,8.60955,-0.095768,-4.740519,42.18561
2016-07-30 14:41:17:855,8.896854,0.373495,-4.711789,44.28704
2016-07-30 14:41:18:356,8.714894,0.181959,-4.34787,44.47422
2016-07-30 14:41:18:855,9.433156,-0.220267,-4.357447,46.45876
2016-07-30 14:41:19:356,8.90643,0.354342,-4.271256,41.65271
2016-07-30 14:41:19:855,8.935162,-0.009577,-4.577713,43.31394
2016-07-30 14:41:20:355,9.050082,0.565032,-5.018246,43.93302
2016-07-30 14:41:20:855,8.532936,0.632069,-4.491522,42.13443
2016-07-30 14:41:21:356,8.992622,0.248997,-4.424484,43.11748
2016-07-30 14:41:21:855,9.356542,0.785298,-4.453215,42.183
2016-07-30 14:41:22:355,8.762778,-0.038307,-4.960786,42.83187
2016-07-30 14:41:22:856,7.97748,0.095768,-4.817134,46.76967
2016-07-30 14:41:23:355,9.816228,0.162806,-4.462792,44.76821
2016-07-30 14:41:23:855,9.002198,0.296881,-4.299986,44.25395
2016-07-30 14:41:24:356,8.303091,0.402226,-4.481945,44.88593
2016-07-30 14:41:24:855,9.136274,-0.383072,-4.654328,45.60477
2016-07-30 14:41:25:356,9.318234,-0.067038,-4.55856,44.30493
2016-07-30 14:41:25:856,8.801086,0.162806,-4.031835,44.87689
2016-07-30 14:41:26:356,8.801086,0.344765,-5.094861,46.37096
2016-07-30 14:41:26:856,8.485052,0.47884,-4.788403,45.62001
2016-07-30 14:41:27:356,9.500194,0.172383,-4.414908,46.80068
2016-07-30 14:41:27:856,8.887278,0.574608,-4.13718,43.48625
2016-07-30 14:41:28:356,8.801086,-0.095768,-4.663905,45.26912
2016-07-30 14:41:28:856,9.069236,0.411803,-5.0374,43.50888
2016-07-30 14:41:29:355,8.772356,0.229843,-4.58729,42.86519
2016-07-30 14:41:29:855,9.069236,-0.086191,-4.491522,47.08405
2016-07-30 14:41:30:355,8.992622,0.105345,-4.951209,45.29799
2016-07-30 14:41:30:855,8.676588,0.067038,-4.865018,46.35489
2016-07-30 14:41:31:355,9.174582,-0.067038,-4.271256,44.19725
2016-07-30 14:41:31:855,8.245631,0.105345,-4.874594,47.7376
2016-07-30 14:41:32:355,9.126698,-0.057461,-4.548983,47.71041
2016-07-30 14:41:32:855,9.471462,0.009577,-4.462792,44.86676
2016-07-30 14:41:33:355,8.437168,0.086191,-4.529829,45.67566
2016-07-30 14:41:33:856,8.647858,-0.143652,-4.453215,43.38065
2016-07-30 14:41:34:356,9.74919,0.555455,-4.79798,48.09937
2016-07-30 14:41:34:857,8.801086,0.641646,-4.328717,45.82595
2016-07-30 14:41:35:356,8.599974,0.067038,-4.34787,47.21631
2016-07-30 14:41:35:855,9.107544,0.009577,-4.654328,45.56021
2016-07-30 14:41:36:355,9.404426,0.191536,-4.462792,43.93627
2016-07-30 14:41:36:856,8.647858,0.47884,-4.261679,44.15018
2016-07-30 14:41:37:356,9.03093,0.038307,-4.711789,49.26493
2016-07-30 14:41:37:856,9.14585,0.23942,-4.022259,47.28083
2016-07-30 14:41:38:355,8.657434,0.181959,-4.951209,44.19614
2016-07-30 14:41:38:857,9.241618,0.124498,-4.34787,46.1352
2016-07-30 14:41:39:356,8.762778,0.153229,-4.663905,44.17345
2016-07-30 14:41:39:855,8.657434,0.258574,-4.663905,45.90023
2016-07-30 14:41:40:355,9.433156,0.373495,-4.328717,41.84636
2016-07-30 14:41:40:855,8.619126,-0.076614,-4.501099,44.61472
2016-07-30 14:41:41:356,8.79151,0.316035,-4.165911,44.25006
2016-07-30 14:41:41:856,9.50977,0.067038,-4.711789,45.14522
2016-07-30 14:41:42:355,8.743626,0.574608,-4.721366,43.23357
2016-07-30 14:41:42:855,8.446744,-0.019154,-4.539406,44.91406
2016-07-30 14:41:43:356,9.72046,0.201113,-4.414908,47.26587
2016-07-30 14:41:43:855,9.490616,0.019154,-4.759673,50.74318
2016-07-30 14:41:44:356,7.613562,0.21069,-4.395754,51.66915
2016-07-30 14:41:44:855,9.442732,0.258574,-5.104438,51.66687
2016-07-30 14:41:45:356,9.634268,0.095768,-4.386177,51.3288
2016-07-30 14:41:45:855,8.437168,0.21069,-4.290409,54.73285
2016-07-30 14:41:46:355,8.973468,-0.019154,-4.089296,45.54895
2016-07-30 14:41:46:855,9.835382,0.344765,-4.472368,45.25516
2016-07-30 14:41:47:356,8.772356,0.105345,-4.10845,47.34311
2016-07-30 14:41:47:855,8.63828,0.306458,-4.520252,48.44974
2016-07-30 14:41:48:355,9.45231,0.019154,-4.520252,49.22138
2016-07-30 14:41:48:856,8.274361,0.746991,-4.242525,50.16376
2016-07-30 14:41:49:355,9.528924,-0.162806,-4.242525,47.87998
2016-07-30 14:41:49:855,9.08839,-0.02873,-4.548983,46.20264
2016-07-30 14:41:50:355,8.705318,0.47884,-4.730942,48.857
2016-07-30 14:41:50:855,8.935162,-0.019154,-3.974375,49.49662
2016-07-30 14:41:51:355,9.155428,0.076614,-4.079719,53.92606
2016-07-30 14:41:51:855,9.404426,-0.248997,-4.34787,48.32192
2016-07-30 14:41:52:356,8.532936,0.277727,-4.501099,48.38553
2016-07-30 14:41:52:855,9.318234,0.325611,-4.414908,48.74082
2016-07-30 14:41:53:355,9.318234,0.019154,-4.070143,50.52974
2016-07-30 14:41:53:856,8.810662,0.038307,-4.10845,51.26245
2016-07-30 14:41:54:356,9.107544,0.124498,-4.711789,49.21352
2016-07-30 14:41:54:856,8.810662,0.02873,-3.65834,49.70255
2016-07-30 14:41:55:356,9.5385,0.306458,-4.367024,47.9388
2016-07-30 14:41:55:856,9.29908,0.181959,-4.424484,46.90923
2016-07-30 14:41:56:356,8.686164,-0.038307,-4.539406,47.75928
2016-07-30 14:41:56:856,8.341399,0.067038,-4.309563,45.61858
2016-07-30 14:41:57:356,9.45231,-0.248997,-4.156334,47.44805
2016-07-30 14:41:57:856,9.461886,0.095768,-4.213795,47.31565
2016-07-30 14:41:58:355,8.465898,-0.287304,-3.801992,48.93015
2016-07-30 14:41:58:856,9.653422,0.296881,-4.424484,47.68651
2016-07-30 14:41:59:355,9.442732,0.076614,-3.983951,47.43247
2016-07-30 14:41:59:855,8.245631,-0.086191,-3.993528,44.1118
2016-07-30 14:42:00:355,9.93115,-0.057461,-4.357447,47.07454
